wavelength,species,dl,sensitivity,photoreceptor
546,cod,light,0.782415714,mw
547,cod,light,0.768268079,mw
548,cod,light,0.753851181,mw
549,cod,light,0.739188671,mw
550,cod,light,0.724304547,mw
551,cod,light,0.709223043,mw
552,cod,light,0.693968523,mw
553,cod,light,0.678565375,mw
554,cod,light,0.663037906,mw
555,cod,light,0.647410239,mw
556,cod,light,0.631706219,mw
557,cod,light,0.615949321,mw
558,cod,light,0.600162562,mw
559,cod,light,0.584368425,mw
560,cod,light,0.568588784,mw
561,cod,light,0.552844844,mw
562,cod,light,0.537157078,mw
563,cod,light,0.521545187,mw
564,cod,light,0.506028051,mw
565,cod,light,0.490623705,mw
566,cod,light,0.475349306,mw
567,cod,light,0.460221124,mw
568,cod,light,0.445254527,mw
569,cod,light,0.430463977,mw
570,cod,light,0.41586304,mw
571,cod,light,0.401464386,mw
572,cod,light,0.387279806,mw
573,cod,light,0.373320232,mw
574,cod,light,0.359595752,mw
575,cod,light,0.346115643,mw
576,cod,light,0.332888386,mw
577,cod,light,0.319921703,mw
578,cod,light,0.307222582,mw
579,cod,light,0.294797305,mw
580,cod,light,0.282651476,mw
581,cod,light,0.270790051,mw
582,cod,light,0.259217364,mw
583,cod,light,0.247937148,mw
584,cod,light,0.236952564,mw
585,cod,light,0.226266215,mw
586,cod,light,0.215880172,mw
587,cod,light,0.205795983,mw
588,cod,light,0.19601469,mw
589,cod,light,0.186536843,mw
590,cod,light,0.177362507,mw
591,cod,light,0.168491272,mw
592,cod,light,0.159922257,mw
593,cod,light,0.15165412,mw
594,cod,light,0.14368506,mw
595,cod,light,0.136012827,mw
596,cod,light,0.128634721,mw
597,cod,light,0.121547603,mw
598,cod,light,0.114747901,mw
599,cod,light,0.10823162,mw
600,cod,light,0.101994351,mw
601,cod,light,0.096031287,mw
602,cod,light,0.090337234,mw
603,cod,light,0.084906634,mw
604,cod,light,0.079733582,mw
605,cod,light,0.074811851,mw
606,cod,light,0.070134914,mw
607,cod,light,0.065695978,mw
608,cod,light,0.061488005,mw
609,cod,light,0.057503752,mw
610,cod,light,0.053735797,mw
611,cod,light,0.050176576,mw
612,cod,light,0.046818414,mw
613,cod,light,0.043653565,mw
614,cod,light,0.040674238,mw
615,cod,light,0.037872638,mw
616,cod,light,0.035240989,mw
617,cod,light,0.032771576,mw
618,cod,light,0.030456762,mw
619,cod,light,0.028289023,mw
620,cod,light,0.02626097,mw
621,cod,light,0.024365373,mw
622,cod,light,0.022595175,mw
623,cod,light,0.020943519,mw
624,cod,light,0.019403754,mw
625,cod,light,0.017969452,mw
626,cod,light,0.016634418,mw
627,cod,light,0.015392696,mw
628,cod,light,0.014238574,mw
629,cod,light,0.01316659,mw
630,cod,light,0.012171531,mw
631,cod,light,0.011248432,mw
632,cod,light,0.010392579,mw
633,cod,light,0.009599499,mw
634,cod,light,0.008864961,mw
635,cod,light,0.008184967,mw
636,cod,light,0.007555749,mw
637,cod,light,0.006973757,mw
638,cod,light,0.006435656,mw
639,cod,light,0.005938316,mw
640,cod,light,0.005478803,mw
641,cod,light,0.005054371,mw
642,cod,light,0.004662452,mw
643,cod,light,0.004300651,mw
644,cod,light,0.003966731,mw
645,cod,light,0.003658611,mw
646,cod,light,0.003374351,mw
647,cod,light,0.003112148,mw
648,cod,light,0.00287033,mw
649,cod,light,0.002647339,mw
650,cod,light,0.002441735,mw
651,cod,light,0.00225218,mw
652,cod,light,0.002077436,mw
653,cod,light,0.001916356,mw
654,cod,light,0.00176788,mw
655,cod,light,0.001631026,mw
656,cod,light,0.001504888,mw
657,cod,light,0.001388627,mw
658,cod,light,0.001281471,mw
659,cod,light,0.001182704,mw
660,cod,light,0.001091669,mw
661,cod,light,0.001007756,mw
662,cod,light,0.000930406,mw
663,cod,light,0.0008591,mw
664,cod,light,0.000793364,mw
665,cod,light,0.000732756,mw
666,cod,light,0.000676874,mw
667,cod,light,0.000625343,mw
668,cod,light,0.000577821,mw
669,cod,light,0.000533992,mw
670,cod,light,0.000493563,mw
671,cod,light,0.000456268,mw
672,cod,light,0.00042186,mw
673,cod,light,0.00039011,mw
674,cod,light,0.00036081,mw
675,cod,light,0.000333767,mw
676,cod,light,0.000308804,mw
677,cod,light,0.000285758,mw
678,cod,light,0.000264478,mw
679,cod,light,0.000244826,mw
680,cod,light,0.000226675,mw
681,cod,light,0.000209908,mw
682,cod,light,0.000194416,mw
683,cod,light,0.000180101,mw
684,cod,light,0.00016687,mw
685,cod,light,0.000154641,mw
686,cod,light,0.000143334,mw
687,cod,light,0.000132879,mw
688,cod,light,0.00012321,mw
689,cod,light,0.000114266,mw
690,cod,light,0.000105991,mw
691,cod,light,9.83E-05,mw
692,cod,light,9.12E-05,mw
693,cod,light,8.47E-05,mw
694,cod,light,7.86E-05,mw
695,cod,light,7.30E-05,mw
696,cod,light,6.78E-05,mw
697,cod,light,6.30E-05,mw
698,cod,light,5.85E-05,mw
699,cod,light,5.43E-05,mw
700,cod,light,5.05E-05,mw
300,thornback ray,unknown,0.136345574,rod
301,thornback ray,unknown,0.140276478,rod
302,thornback ray,unknown,0.144230336,rod
303,thornback ray,unknown,0.148202831,rod
304,thornback ray,unknown,0.152189498,rod
